airport_1,airport_2,nsmiles
BTV,DCA,441
BTV,IAD,441
BUF,DAL,1212
BUF,DFW,1212
BUF,BWI,296
BUF,DCA,296
BUF,IAD,296
BUF,MDW,473
BUF,ORD,473
BUF,EWR,326
BUF,HPN,326
BUF,ISP,326
BUF,JFK,326
BUF,LGA,326
BUF,SWF,326
BUF,FLL,1185
BUF,MIA,1185
BUF,BUR,2218
BUF,LAX,2218
BUF,LGB,2218
BUF,ONT,2218
BUF,SNA,2218
BUF,TPA,1053
BZN,DAL,1172
BZN,DFW,1172
BZN,BWI,1805
BZN,DCA,1805
BZN,IAD,1805
BZN,MDW,1198
BZN,ORD,1198
BZN,EWR,1931
BZN,HPN,1931
BZN,ISP,1931
BZN,JFK,1931
BZN,LGA,1931
BZN,OAK,807
BZN,SFO,807
BZN,SJC,807
BZN,BUR,908
BZN,LAX,908
BZN,LGB,908
BZN,ONT,908
BZN,SNA,908
BWI,PBI,883
DCA,PBI,883
IAD,PBI,883
MDW,COS,917
ORD,COS,917
MDW,DAL,801
MDW,DFW,801
ORD,DAL,801
ORD,DFW,801
MDW,PIT,413
ORD,PIT,413
MDW,DEN,895
ORD,DEN,895
MDW,TUS,1440
ORD,TUS,1440
MDW,PHX,1444
ORD,PHX,1444
MDW,BDL,783
ORD,BDL,783
MDW,SEA,1733
ORD,SEA,1733
MDW,ELP,1237
ORD,ELP,1237
MDW,CLE,343
ORD,CAK,343
ORD,CLE,343
MDW,BNA,409
ORD,BNA,409
MDW,BWI,621
MDW,DCA,621
MDW,IAD,621
ORD,BWI,621
ORD,DCA,621
ORD,IAD,621
MDW,CMH,296
ORD,CMH,296
MDW,STL,258
ORD,STL,258
MDW,MYR,753
ORD,MYR,753
MDW,JAX,864
ORD,JAX,864
MDW,DTW,235
ORD,DTW,235
MDW,HOU,945
MDW,IAH,945
ORD,HOU,945
ORD,IAH,945
MDW,MCO,1005
ORD,MCO,1005
MDW,VPS,796
ORD,VPS,796
MDW,FAT,1738
ORD,FAT,1738
MDW,MSP,349
ORD,MSP,349
MDW,EWR,773
MDW,HPN,773
MDW,ISP,773
MDW,JFK,773
MDW,LGA,773
ORD,EWR,773
ORD,HPN,773
ORD,ISP,773
ORD,JFK,773
ORD,LGA,773
ORD,SWF,773
MDW,RSW,1120
ORD,RSW,1120
MDW,GSP,577
ORD,GSP,577
MDW,GEG,1511
ORD,GEG,1511
MDW,LAS,1521
ORD,LAS,1521
MDW,OAK,1855
MDW,SFO,1855
MDW,SJC,1855
ORD,OAK,1855
ORD,SFO,1855
ORD,SJC,1855
MDW,FLL,1197
MDW,MIA,1197
ORD,FLL,1197
ORD,MIA,1197
MDW,BUR,1750
MDW,LAX,1750
MDW,LGB,1750
MDW,ONT,1750
MDW,SNA,1750
ORD,BUR,1750
ORD,LAX,1750
ORD,LGB,1750
ORD,ONT,1750
ORD,SNA,1750
MDW,SDF,286
ORD,SDF,286
MDW,CVG,264
ORD,CVG,264
MDW,SMF,1790
ORD,SMF,1790
MDW,TPA,1011
ORD,TPA,1011
MDW,MCI,405
ORD,MCI,405
MDW,SAT,1041
ORD,SAT,1041
MDW,MEM,491
ORD,MEM,491
MDW,OMA,423
